ca,choice,cp,exang,fbs,k,p,restecg,scaler,scaling,score,sex,slope,thal
1,3,0,1,0,5,2,0,normalize,1,0.8125,0,1,1
0,3,0,0,0,5,2,1,None,0,0.603174603,0,0,0
0,3,0,0,0,5,2,1,standard,1,0.78125,0,0,0
0,3,0,0,0,5,2,1,min_max,1,0.787878788,0,0,0
0,3,0,0,0,5,2,1,max_abs,1,0.8,0,0,0
0,3,0,0,0,5,2,1,robust,1,0.78125,0,0,0
0,3,0,0,0,5,2,1,normalize,1,0.8,0,0,0
0,3,0,0,0,5,2,1,None,0,0.603174603,0,0,1
0,3,0,0,0,5,2,1,standard,1,0.84375,0,0,1
0,3,0,0,0,5,2,1,min_max,1,0.8125,0,0,1
0,3,0,0,0,5,2,1,max_abs,1,0.8125,0,0,1
0,3,0,0,0,5,2,1,robust,1,0.84375,0,0,1
0,3,0,0,0,5,2,1,normalize,1,0.8125,0,0,1
1,3,0,0,0,5,2,1,None,0,0.603174603,0,0,0
1,3,0,0,0,5,2,1,standard,1,0.75,0,0,0
1,3,0,0,0,5,2,1,min_max,1,0.764705882,0,0,0
1,3,0,0,0,5,2,1,max_abs,1,0.764705882,0,0,0
1,3,0,0,0,5,2,1,robust,1,0.71875,0,0,0
1,3,0,0,0,5,2,1,normalize,1,0.71641791,0,0,0
1,3,0,0,0,5,2,1,None,0,0.603174603,0,0,1
1,3,0,0,0,5,2,1,standard,1,0.793650794,0,0,1
1,3,0,0,0,5,2,1,min_max,1,0.764705882,0,0,1
1,3,0,0,0,5,2,1,max_abs,1,0.776119403,0,0,1
1,3,0,0,0,5,2,1,robust,1,0.793650794,0,0,1
1,3,0,0,0,5,2,1,normalize,1,0.757575758,0,0,1
0,3,0,0,0,5,2,1,None,0,0.603174603,0,1,0
0,3,0,0,0,5,2,1,standard,1,0.787878788,0,1,0
0,3,0,0,0,5,2,1,min_max,1,0.818181818,0,1,0
0,3,0,0,0,5,2,1,max_abs,1,0.818181818,0,1,0
0,3,0,0,0,5,2,1,robust,1,0.75,0,1,0
0,3,0,0,0,5,2,1,normalize,1,0.830769231,0,1,0
0,3,0,0,0,5,2,1,None,0,0.603174603,0,1,1
0,3,0,0,0,5,2,1,standard,1,0.830769231,0,1,1
0,3,0,0,0,5,2,1,min_max,1,0.830769231,0,1,1
0,3,0,0,0,5,2,1,max_abs,1,0.84375,0,1,1
0,3,0,0,0,5,2,1,robust,1,0.838709677,0,1,1
0,3,0,0,0,5,2,1,normalize,1,0.857142857,0,1,1
1,3,0,0,0,5,2,1,None,0,0.603174603,0,1,0
1,3,0,0,0,5,2,1,standard,1,0.75,0,1,0
1,3,0,0,0,5,2,1,min_max,1,0.764705882,0,1,0
1,3,0,0,0,5,2,1,max_abs,1,0.764705882,0,1,0
1,3,0,0,0,5,2,1,robust,1,0.738461538,0,1,0
1,3,0,0,0,5,2,1,normalize,1,0.71641791,0,1,0
1,3,0,0,0,5,2,1,None,0,0.603174603,0,1,1
1,3,0,0,0,5,2,1,standard,1,0.78125,0,1,1
1,3,0,0,0,5,2,1,min_max,1,0.776119403,0,1,1
1,3,0,0,0,5,2,1,max_abs,1,0.776119403,0,1,1
1,3,0,0,0,5,2,1,robust,1,0.793650794,0,1,1
1,3,0,0,0,5,2,1,normalize,1,0.769230769,0,1,1
0,3,0,1,0,5,2,1,None,0,0.603174603,0,0,0
0,3,0,1,0,5,2,1,standard,1,0.793650794,0,0,0
0,3,0,1,0,5,2,1,min_max,1,0.78125,0,0,0
0,3,0,1,0,5,2,1,max_abs,1,0.793650794,0,0,0
0,3,0,1,0,5,2,1,robust,1,0.754098361,0,0,0
0,3,0,1,0,5,2,1,normalize,1,0.793650794,0,0,0
0,3,0,1,0,5,2,1,None,0,0.603174603,0,0,1
0,3,0,1,0,5,2,1,standard,1,0.830769231,0,0,1
0,3,0,1,0,5,2,1,min_max,1,0.8,0,0,1
0,3,0,1,0,5,2,1,max_abs,1,0.8,0,0,1
0,3,0,1,0,5,2,1,robust,1,0.825396825,0,0,1
0,3,0,1,0,5,2,1,normalize,1,0.78125,0,0,1
1,3,0,1,0,5,2,1,None,0,0.603174603,0,0,0
1,3,0,1,0,5,2,1,standard,1,0.741935484,0,0,0
1,3,0,1,0,5,2,1,min_max,1,0.776119403,0,0,0
1,3,0,1,0,5,2,1,max_abs,1,0.776119403,0,0,0
1,3,0,1,0,5,2,1,robust,1,0.71875,0,0,0
1,3,0,1,0,5,2,1,normalize,1,0.746268657,0,0,0
1,3,0,1,0,5,2,1,None,0,0.603174603,0,0,1
1,3,0,1,0,5,2,1,standard,1,0.8125,0,0,1
1,3,0,1,0,5,2,1,min_max,1,0.787878788,0,0,1
1,3,0,1,0,5,2,1,max_abs,1,0.787878788,0,0,1
1,3,0,1,0,5,2,1,robust,1,0.793650794,0,0,1
1,3,0,1,0,5,2,1,normalize,1,0.8,0,0,1
0,3,0,1,0,5,2,1,None,0,0.603174603,0,1,0
0,3,0,1,0,5,2,1,standard,1,0.787878788,0,1,0
0,3,0,1,0,5,2,1,min_max,1,0.806451613,0,1,0
0,3,0,1,0,5,2,1,max_abs,1,0.825396825,0,1,0
0,3,0,1,0,5,2,1,robust,1,0.761904762,0,1,0
0,3,0,1,0,5,2,1,normalize,1,0.825396825,0,1,0
0,3,0,1,0,5,2,1,None,0,0.603174603,0,1,1
0,3,0,1,0,5,2,1,standard,1,0.830769231,0,1,1
0,3,0,1,0,5,2,1,min_max,1,0.825396825,0,1,1
0,3,0,1,0,5,2,1,max_abs,1,0.857142857,0,1,1
0,3,0,1,0,5,2,1,robust,1,0.819672131,0,1,1
0,3,0,1,0,5,2,1,normalize,1,0.825396825,0,1,1
1,3,0,1,0,5,2,1,None,0,0.603174603,0,1,0
1,3,0,1,0,5,2,1,standard,1,0.738461538,0,1,0
1,3,0,1,0,5,2,1,min_max,1,0.78125,0,1,0
1,3,0,1,0,5,2,1,max_abs,1,0.8,0,1,0
1,3,0,1,0,5,2,1,robust,1,0.738461538,0,1,0
1,3,0,1,0,5,2,1,normalize,1,0.75,0,1,0
1,3,0,1,0,5,2,1,None,0,0.603174603,0,1,1
1,3,0,1,0,5,2,1,standard,1,0.8,0,1,1
1,3,0,1,0,5,2,1,min_max,1,0.8125,0,1,1
1,3,0,1,0,5,2,1,max_abs,1,0.8,0,1,1
1,3,0,1,0,5,2,1,robust,1,0.787878788,0,1,1
1,3,0,1,0,5,2,1,normalize,1,0.825396825,0,1,1
0,3,0,0,1,5,2,0,None,0,0.603174603,0,0,0
0,3,0,0,1,5,2,0,standard,1,0.8125,0,0,0
0,3,0,0,1,5,2,0,min_max,1,0.8125,0,0,0
0,3,0,0,1,5,2,0,max_abs,1,0.825396825,0,0,0
0,3,0,0,1,5,2,0,robust,1,0.761904762,0,0,0
0,3,0,0,1,5,2,0,normalize,1,0.786885246,0,0,0
0,3,0,0,1,5,2,0,None,0,0.603174603,0,0,1
0,3,0,0,1,5,2,0,standard,1,0.8125,0,0,1
0,3,0,0,1,5,2,0,min_max,1,0.830769231,0,0,1
0,3,0,0,1,5,2,0,max_abs,1,0.825396825,0,0,1
0,3,0,0,1,5,2,0,robust,1,0.830769231,0,0,1
0,3,0,0,1,5,2,0,normalize,1,0.793650794,0,0,1
1,3,0,0,1,5,2,0,None,0,0.603174603,0,0,0
1,3,0,0,1,5,2,0,standard,1,0.75,0,0,0
1,3,0,0,1,5,2,0,min_max,1,0.769230769,0,0,0
1,3,0,0,1,5,2,0,max_abs,1,0.769230769,0,0,0
1,3,0,0,1,5,2,0,robust,1,0.75,0,0,0
1,3,0,0,1,5,2,0,normalize,1,0.738461538,0,0,0
1,3,0,0,1,5,2,0,None,0,0.603174603,0,0,1
1,3,0,0,1,5,2,0,standard,1,0.787878788,0,0,1
1,3,0,0,1,5,2,0,min_max,1,0.793650794,0,0,1
1,3,0,0,1,5,2,0,max_abs,1,0.806451613,0,0,1
1,3,0,0,1,5,2,0,robust,1,0.793650794,0,0,1
1,3,0,0,1,5,2,0,normalize,1,0.793650794,0,0,1
0,3,0,0,1,5,2,0,None,0,0.603174603,0,1,0
0,3,0,0,1,5,2,0,standard,1,0.84375,0,1,0
0,3,0,0,1,5,2,0,min_max,1,0.84375,0,1,0
0,3,0,0,1,5,2,0,max_abs,1,0.830769231,0,1,0
0,3,0,0,1,5,2,0,robust,1,0.8125,0,1,0
0,3,0,0,1,5,2,0,normalize,1,0.8125,0,1,0
0,3,0,0,1,5,2,0,None,0,0.603174603,0,1,1
0,3,0,0,1,5,2,0,standard,1,0.84375,0,1,1
0,3,0,0,1,5,2,0,min_max,1,0.825396825,0,1,1
0,3,0,0,1,5,2,0,max_abs,1,0.825396825,0,1,1
0,3,0,0,1,5,2,0,robust,1,0.806451613,0,1,1
0,3,0,0,1,5,2,0,normalize,1,0.830769231,0,1,1
1,3,0,0,1,5,2,0,None,0,0.603174603,0,1,0
1,3,0,0,1,5,2,0,standard,1,0.776119403,0,1,0
1,3,0,0,1,5,2,0,min_max,1,0.805970149,0,1,0
1,3,0,0,1,5,2,0,max_abs,1,0.805970149,0,1,0
1,3,0,0,1,5,2,0,robust,1,0.761904762,0,1,0
1,3,0,0,1,5,2,0,normalize,1,0.738461538,0,1,0
1,3,0,0,1,5,2,0,None,0,0.603174603,0,1,1
1,3,0,0,1,5,2,0,standard,1,0.825396825,0,1,1
1,3,0,0,1,5,2,0,min_max,1,0.830769231,0,1,1
1,3,0,0,1,5,2,0,max_abs,1,0.830769231,0,1,1
1,3,0,0,1,5,2,0,robust,1,0.793650794,0,1,1
1,3,0,0,1,5,2,0,normalize,1,0.78125,0,1,1
0,3,0,1,1,5,2,0,None,0,0.603174603,0,0,0
0,3,0,1,1,5,2,0,standard,1,0.793650794,0,0,0
0,3,0,1,1,5,2,0,min_max,1,0.793650794,0,0,0
0,3,0,1,1,5,2,0,max_abs,1,0.78125,0,0,0
0,3,0,1,1,5,2,0,robust,1,0.75,0,0,0
0,3,0,1,1,5,2,0,normalize,1,0.806451613,0,0,0
0,3,0,1,1,5,2,0,None,0,0.603174603,0,0,1
0,3,0,1,1,5,2,0,standard,1,0.8,0,0,1
0,3,0,1,1,5,2,0,min_max,1,0.793650794,0,0,1
0,3,0,1,1,5,2,0,max_abs,1,0.793650794,0,0,1
0,3,0,1,1,5,2,0,robust,1,0.793650794,0,0,1
0,3,0,1,1,5,2,0,normalize,1,0.806451613,0,0,1
1,3,0,1,1,5,2,0,None,0,0.603174603,0,0,0
1,3,0,1,1,5,2,0,standard,1,0.727272727,0,0,0
1,3,0,1,1,5,2,0,min_max,1,0.769230769,0,0,0
1,3,0,1,1,5,2,0,max_abs,1,0.769230769,0,0,0
1,3,0,1,1,5,2,0,robust,1,0.71875,0,0,0
1,3,0,1,1,5,2,0,normalize,1,0.727272727,0,0,0
1,3,0,1,1,5,2,0,None,0,0.603174603,0,0,1
1,3,0,1,1,5,2,0,standard,1,0.787878788,0,0,1
1,3,0,1,1,5,2,0,min_max,1,0.78125,0,0,1
1,3,0,1,1,5,2,0,max_abs,1,0.8,0,0,1
1,3,0,1,1,5,2,0,robust,1,0.793650794,0,0,1
1,3,0,1,1,5,2,0,normalize,1,0.793650794,0,0,1
